Index,Reference.Paper,Year,Country,Type,Depth,Surface.Area,Flow,Hydraulic.Residence.Time..tau.,L_in_TN,L_out_TN,k_TN_PFR,k_TN_CSTR,L_in_NO3,L_out_NO3,k_NO3_PFR,k_NO3_CSTR,L_in_TP,L_out_TP,k_TP_PFR,k_TP_CSTR,L_in_PO4,L_out_PO4,k_PO4_PFR,k_PO4_CSTR
235,Akratos,2007,Greece,CWUF,0.45,2.25,NA,14,NA,NA,NA,NA,NA,NA,8.9661864193820467E-2,0.17919799498746866,NA,NA,NA,NA,NA,NA,0.1142491129700666,0.28217821782178221
236,Akratos,2007,Greece,CWUF,0.45,2.25,NA,14,NA,NA,NA,NA,NA,NA,6.8551449271535073E-2,0.11506900410294665,NA,NA,NA,NA,NA,NA,6.1964326264623067E-2,9.8639455782312896E-2
237,Akratos,2007,Greece,CWUF,0.45,2.25,NA,20,NA,NA,NA,NA,NA,NA,9.1317545699883693E-2,0.26055900621118011,NA,NA,7.305089536579136E-2,0.16551724137931034,NA,NA,7.5706386631488792E-2,0.1772727272727273
238,Akratos,2007,Greece,CWUF,0.45,2.25,NA,20,NA,NA,NA,NA,NA,NA,3.9703654957495296E-2,6.0619469026548689E-2,NA,NA,2.7582380914312282E-2,3.680555555555555E-2,NA,NA,3.3276600676348592E-2,4.7276264591439687E-2
239,Akratos,2007,Greece,CWUF,0.45,2.25,NA,20,NA,NA,NA,NA,NA,NA,2.6043797980974608E-2,3.4175084175084178E-2,NA,NA,2.6466454766527519E-2,3.4889643463497461E-2,NA,NA,2.7409070515487972E-2,3.6505190311418675E-2
240,Akratos,2007,Greece,CWUF,0.45,2.25,NA,20,NA,NA,NA,NA,NA,NA,8.4913456307035798E-2,0.22322404371584692,NA,NA,0.10991125388349014,0.40045045045045052,NA,NA,0.1262864322154128,0.57500000000000029
241,Akratos,2007,Greece,CWUF,0.45,2.25,NA,20,NA,NA,NA,NA,NA,NA,7.5934177458281821E-2,0.17831050228310508,NA,NA,5.0530070567269825E-2,8.7362637362637371E-2,NA,NA,5.5131015503282435E-2,0.10060240963855423
242,Kotti,2010,Greece,CWSF,0.45,2.8899999999999997,NA,6,NA,NA,0.12025777584694054,0.17626886145404663,NA,NA,NA,NA,NA,NA,3.865534289121484E-2,4.3505674653215615E-2,NA,NA,3.0253646103898389E-2,3.3173461231015194E-2
243,Kotti,2010,Greece,CWSF,0.45,2.8899999999999997,NA,8,NA,NA,8.6643397569993161E-2,0.125,NA,NA,NA,NA,NA,NA,6.2197549626996258E-2,8.0592105263157909E-2,NA,NA,7.7254963509142502E-2,0.10691094619666053
244,Kotti,2010,Greece,CWSF,0.45,2.8899999999999997,NA,14,NA,NA,8.1835992585854306E-2,0.15318957771787964,NA,NA,NA,NA,NA,NA,6.2134597075714233E-2,9.9045346062052481E-2,NA,NA,6.6167219123404036E-2,0.10894660894660893
245,Kotti,2010,Greece,CWSF,0.45,2.8899999999999997,NA,20,NA,NA,6.2413653161125793E-2,0.12421602787456446,NA,NA,NA,NA,NA,NA,5.0530070567269825E-2,8.7362637362637371E-2,NA,NA,5.7600653269761257E-2,0.10822784810126586
246,Reinhardt et al,2005,Switzerland,CWSF,0.6,2350,76200,4,NA,NA,NA,NA,NA,NA,NA,NA,3.0054794520547948E-2,2.3027397260273971E-2,6.6584376856640037E-2,7.6293872694824572E-2,1.8698630136986298E-2,9.0958904109589046E-3,0.18015688953565651,0.26393072289156605
247,Vohla et al,2006,Estonia,CWUF,1,156.25,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61893717800080861,1.2241379310344827,NA,NA,NA,NA
248,Reilly et al,2000,USA,CWSF,0.55000000000000004,250000,17975520,2.8,NA,NA,NA,NA,311,61,0.58175680285925813,1.4637002341920371,NA,NA,NA,NA,NA,NA,NA,NA
249,Reilly et al,2000,USA,CWSF,0.55000000000000004,250000,26805600,1.8,NA,NA,NA,NA,672.75,520.25,0.14281351351848406,0.16284905761119117,NA,NA,NA,NA,NA,NA,NA,NA
250,Reilly et al,2000,USA,CWSF,0.52,190000,44150400,1.1000000000000001,NA,NA,NA,NA,1091.74,938.03,0.13795100116397455,0.14896790469000309,NA,NA,NA,NA,NA,NA,NA,NA
251,Reilly et al,2000,USA,CWSF,0.24,210000,17975520,3.1,NA,NA,NA,NA,25.41,5.04,0.521850553306063,1.303763440860215,NA,NA,NA,NA,NA,NA,NA,NA
252,Reilly et al,2000,USA,CWSF,0.24,210000,26805600,1.8,NA,NA,NA,NA,187.53,86.1,0.43246078954341421,0.65447154471544722,NA,NA,NA,NA,NA,NA,NA,NA
253,Reilly et al,2000,USA,CWSF,0.24,210000,44150400,1,NA,NA,NA,NA,426.93,312.89999999999998,0.31073641468884183,0.36442953020134228,NA,NA,NA,NA,NA,NA,NA,NA
254,Reilly et al,2000,USA,CWSF,0.1,140000,17975520,0.9,NA,NA,NA,NA,0.84,0.28000000000000003,1.220680320742344,2.2222222222222219,NA,NA,NA,NA,NA,NA,NA,NA
255,Reilly et al,2000,USA,CWSF,0.1,140000,26805600,0.7,NA,NA,NA,NA,52.22,10.08,2.3498747151825148,5.9722222222222214,NA,NA,NA,NA,NA,NA,NA,NA
